Male speech, man speaking|man
Female speech, woman speaking|woman
Child speech, kid speaking|child
Conversation|no
Narration, monologue|no
Babbling|no
Speech synthesizer|no
Bellow|no
Whoop|no
Yell|no
Battle cry|no
Children shouting|child
Screaming|no
Whispering|no
Baby laughter|baby
Giggle|smile
Snicker|smile
Belly laugh|smile
Chuckle, chortle|smile
Baby cry, infant cry|no
Whimper|no
Wail, moan|no
Sigh|no
Choir|choir
Yodeling|no
Mantra|no
Male singing|man and microphone
Female singing|woman and microphone
Child singing|child and microphone
Synthetic singing|no
Rapping|no
Humming|no
Groan|no
Grunt|no
Yawn|no
Wolf-whistling|no
Wheeze|no
Snoring|man and sleep
Gasp|no
Pant
Snort
Throat clearing|man and bathroom and sink
Sneeze|sneeze
Sniff|no
Run|person and run
Shuffle|no
Walk, footsteps|man and pedestrian and street
Chewing, mastication|man and food or eat
Biting|no
Gargling|no
Stomach rumble|no
Burping, eructation|no
Hiccup|no
Fart|no
Finger snapping|no
Clapping|person and concert
Heart murmur|no
Tinnitus, ringing in the ears|no
Cheering|person and stadium
Applause|no
Crowd|crowd
Hubbub, speech noise, speech babble|no
Booing|no
Children playing|no
Bark|dog
Yip|dog
Howl|dog
Bow-wow|dog
Growling|dog or cat or lion or tiger
Whimper (dog)|dog
Bay|dog
Purr|cat
Meow|cat
Hiss|cat or snake
Cat communication|cat
Caterwaul|cat
Clip-clop|horse
Neigh, whinny|horse
Snort (horse)|horse
Nicker|horse
Donkey, ass|donkey
Moo|cow or bull or sheep (bovinae)
Cowbell|cow or bull or sheep (bovinae)
Yak|cow or bull or sheep (bovinae)
Oink|pig
Bleat|goat or sheep
Cluck|chicken or rooster
Crowing, cock-a-doodle-doo|chicken or rooster
Gobble|turkey
Quack|duck
Honk|goose
Roar|lion or tiger
Chirp, tweet|bird
Squawk|bird
Coo|pigeon or dove
Caw|crow
Hoot|owl
Gull, seagull|gull or seagull
Bird flight, flapping wings|bird
Mouse|mouse
Chipmunk|mouse
Patter|mouse
Cricket|cricket
Mosquito|mosquito
Buzz|bee or wasp or fly
Croak|forg
Rattle|snake
Whale vocalization|whale
Electric guitar|electric_guitar
Bass guitar|bass
Acoustic guitar|guitar
Steel guitar, slide guitar|electric_guitar
Tapping (guitar technique)|guitar
Strum|no
Banjo|banjo
Sitar|sitar
Mandolin|mandolin
Zither|zither
Ukulele|ukulele
Clavinet|no
Rhodes piano|no
Piano|piano
Organ|organ
Electronic organ|no
Hammond organ|no
Sampler|sampler
Mellotron|mellotron
Harpsichord|harpsichord
Drum|drum
Drum machine|no
Rimshot|no
Drum roll|no
Bass drum|no
Timpani|no
Tabla|no
Cymbal|cymbal
Hi-hat|no
Crash cymbal|no
Wood block|wood_block
Cowbell|cowbell
Tambourine|tambourine
Maraca|maraca
Gong|gong
Tubular bells|tubular_bell
Marimba, xylophone|marimba or xylophone
Glockenspiel|glockenspiel
Vibraphone|vibraphone
Steelpan|steelpan
Orchestra|orchestra
French horn|french_horn
Trumpet|trumpet
Trombone|trombone
Cornet|cornet
Bugle|bugle
String section|no
Pizzicato|no
Violin, fiddle|violin or viola
Cello|cello
Double bass|double_bass
Flute|flute
Saxophone|saxophone
Alto saxophone|no
Soprano saxophone|no
Clarinet|clarinet
Oboe|oboe
Bassoon|bassoon
Harp|harp
Church bell|church and bell
